Site_ID,Site_Name,Latitude,Longitude,Project,COUNT,d2H,d18O
NLA06608-ELS:1E3-002,Otter Pond,46.375055,-68.35754,EPA Lakes,1,-49.82505929,-4.791310242
NLA06608-ELS:1E3-012,Denny Pond,46.944636,-68.871133,EPA Lakes,1,-75.96030433,-10.06385061
NLA06608-ELS:1E3-071,Carry Pond,46.345672,-68.594335,EPA Lakes,1,-52.34713869,-5.077278909
NLA06608-ELS:2B2-008,Hall Lake,46.994934,-88.759164,EPA Lakes,1,-77.05922132,-8.952295893
NLA06608-ELS:2C2-048,Midget Lake,45.500526,-88.794652,EPA Lakes,1,-31.68088835,-0.550306797
NLA06608-ELS:2C3-018,Big Gibson Lake,46.138603,-89.552886,EPA Lakes,1,-36.03970857,-2.351666649
NLA06608-ELS:2D3-008,Spring Lake,47.122809,-93.880503,EPA Lakes,1,-53.05155851,-6.634260336
NLA06608-EMAP:ME011L,Female Pond,45.748209,-69.222522,EPA Lakes,1,-69.61887969,-9.548623788
NLA06608-EMAP:ME012L,Gardner Pond,46.962321,-68.89108,EPA Lakes,1,-78.01582954,-10.48018117
NLA06608-EMAP:ME254L,Big Reed Pond,46.353306,-69.056968,EPA Lakes,1,-72.42888263,-9.249793117
NLA06608-EMAP:ME263L,Fourth Machias Lake,45.127611,-67.997826,EPA Lakes,1,-54.90920151,-7.532792466
NLA06608-EMAP:ME518L,Pleasant Lake,45.354469,-67.922498,EPA Lakes,1,-59.65830171,-8.488277321
NLA06608-FL:107895579,Lake Woodruff,29.080057,-81.441106,EPA Lakes,1,3.127254875,1.211279092
NLA06608-FL:16674741,Sheeler Lake,29.839332,-81.95812,EPA Lakes,1,-9.99902338,-1.325558398
NLA06608-FL:18261987,Palestine Lake,30.118409,-82.409214,EPA Lakes,1,17.36215541,3.899347996
NLA06608-FL:99324403,McClellan Lake,30.211239,-82.834414,EPA Lakes,1,5.545753887,2.537488935
NLA06608-FL:99344895,White Lake,30.247737,-82.913722,EPA Lakes,1,5.449786466,2.328518416
NLA06608-IN:646,Olin Lake,41.56235,-85.392434,EPA Lakes,1,-44.72650549,-5.921326188
NLA06608-MI:7007,Sullivan Lake,42.398646,-84.056809,EPA Lakes,1,-36.59336465,-3.859092678
NLA06608-MN:03-0029,Hungry Man Lake,47.062841,-95.181199,EPA Lakes,1,-32.38450238,-1.763379417
NLA06608-MN:06-0002,Artichoke Lake,45.33182,-96.135669,EPA Lakes,1,-24.53773155,-1.624988273
