"","Site_ID","Site_Name","Project","COUNT","d2H","d18O","OBJECTID","Dist_moved","h_ann","o_ann","fa_qs_ann","h_win","o_win","fa_qs_win","h_sum","o_sum","fa_qs_sum","elsl","el","es"
"315","NLA06608-0588",NA,"EPA Lakes",1,-8.565910376,-0.739061569,"338094",4,-48.7251318975517,-7.31460808836272,0.00652396865189075,-84.6986044909758,-11.9519363044436,0.00179489492438734,-35.071581980641,-5.55453332029949,0.00472907489165664,4.98358086885279,4.98803309375849,3.47965744297606
"316","NLA06608-0590","Haskell Lake","EPA Lakes",1,-54.56524164,-6.564062313,"188860",0,-76.843629682179,-11.0633855410536,0.0788101106882095,-113.207979635251,-15.594869944024,0.0321097820997238,-51.8405804471513,-7.94766545316398,0.046700332313776,5.82223593684149,5.82264522869627,4.05502304461726
"317","NLA06608-0591","Lake Allatoona","EPA Lakes",1,-18.0601946,-2.966383087,"107587",0,-32.86904348489,-5.72721414011692,0.622359871864319,-39.6205328064783,-6.66120990247811,0.383196264505386,-22.0515790498442,-4.23072819314642,0.239163637161255,4.6966592143526,4.73093225585292,3.31187937456739
"318","NLA06608-0593","Lake Louise","EPA Lakes",1,-63.57584401,-8.367933147,"435271",3,-83.6787694902579,-11.1827286630825,0.0421235114336014,-87.4707668322078,-11.7428967478966,0.033239483833313,-69.491139458396,-9.08687213719132,0.00888402201235294,5.92463137465326,5.9547508453876,4.1252308301951
"319","NLA06608-0594","Banks Lake","EPA Lakes",1,-29.16136072,-3.492631995,"56774",3,-22.6996552752281,-4.20868053085928,0.0976297408342361,-28.8093718470633,-5.10212237020922,0.0428858585655689,-17.9133687072471,-3.50876524426551,0.0547438785433769,4.76253628531272,4.77098065407066,3.33046828823924
"320","NLA06608-0595","Mutske","EPA Lakes",1,-35.0314196,-2.625727385,"297416",2,-80.1785310941307,-10.7064175896014,0.00375212635844946,-128.478635118044,-16.8787384276315,0.00095828075427562,-63.6117360458073,-8.58933079661145,0.00279384572058916,5.38173481514083,5.38304498499294,3.75936977565169
"321","NLA06608-0596","West Twin Lake","EPA Lakes",1,-120.3614215,-16.51041578,"349467",0,-112.884631266535,-15.3997921550219,0.0345527455210686,-145.517597587695,-19.4898105319168,0.0180069971829653,-77.3696573090185,-10.9485614192052,0.0165457464754581,5.67841802588007,5.77301642103086,4.05668345379537
"322","NLA06608-0597","Lake Lowell","EPA Lakes",1,-118.3836417,-14.8208197,"431041",0,-111.270812960217,-14.9815819892859,24.7393112182617,-127.310278813856,-17.1269991802679,16.1782054901123,-80.959671874718,-10.9273036278386,8.56113243103027,4.85290201963051,5.0288570740191,3.53342391390656
"323","NLA06608-0599","Lake Somerville","EPA Lakes",1,-11.91626821,-1.971615059,"395009",0,-19.3784614417858,-3.43398050815568,0.972713708877563,-23.2747948031382,-4.11515104655483,0.463104963302612,-15.8376836208677,-2.81496854669889,0.509608864784241,4.91467619594286,4.87254909723334,3.3916242916194
"324","NLA06608-0606","Schnur Lake","EPA Lakes",1,-43.14076071,-4.395600315,"184861",0,-74.4639170899036,-10.7836118596231,0.031499806791544,-113.422012350378,-15.6123937765392,0.0113714402541518,-52.4547126796724,-8.05561113637407,0.0201283693313599,5.79381040766148,5.78950214804216,4.03312425960777
"325","NLA06608-0608",NA,"EPA Lakes",1,-17.16959322,-0.578451431,"206048",6,-29.6308702256944,-5.25845431857639,0.0268220901489258,-35.687431578543,-6.22795764634142,0.0164869986474514,-19.9691693617861,-3.71185974674288,0.0103350915014744,4.86832712294334,4.86800721000766,3.4014773076275
"326","NLA06608-0609","Lake Thonotosass","EPA Lakes",1,7.884480508,1.73212413,"82474",1,-10.4788141306186,-2.60252659602927,0.0435178168118,-11.9803611691896,-2.86149044029477,0.0102039836347103,-10.0188924786301,-2.52320664518022,0.0333138294517994,4.72383874850854,4.71321126943733,3.2839031497599
"327","NLA06608-0610","Long Pond","EPA Lakes",1,-41.31012003,-5.172112756,"8439",6,-62.738440858059,-9.23911870129285,3.44824028015137,-76.7786739621198,-11.05159479707,1.82945072650909,-46.8710141832482,-7.19077529658895,1.61879062652588,5.63060704326299,5.81340341179439,4.03782255519917
"328","NLA06608-0611","Lake Kegonsa","EPA Lakes",1,-40.42535083,-5.249210991,"195343",0,-49.8722162448393,-7.34514781573222,0.0406208112835884,-76.2635247147817,-10.784068267759,0.0137952268123627,-36.300312875819,-5.57665963141618,0.0268255919218063,5.40960575691397,5.40964997577333,3.76606626517591
"329","NLA06608-0614","Cooper Creek Reservoir","EPA Lakes",1,-60.20770854,-7.840411969,"434278",9,-78.8862922445118,-10.8898757928295,1.40903580188751,-81.5945426020879,-11.2429597001607,1.2019317150116,-63.1691675206545,-8.84076547112682,0.207104071974754,6.19107215247576,5.88672977627141,4.09150084821866
"330","NLA06608-0616","McGill","EPA Lakes",1,-22.3344888,-3.329685473,"353663",1,-42.0012953283965,-6.53364530243936,0.01437683776021,-65.7986529021413,-9.65176435564091,0.00468918308615685,-30.4824942991952,-5.02436038087241,0.00968765467405319,4.75436428230457,4.75705656248227,3.32388138432127
"331","NLA06608-0617","Upper Lake Mary","EPA Lakes",1,-23.08751808,0.471105681,"418966",2,-64.0766397374333,-8.21773753051415,0.0159540940076113,-87.0724271272376,-11.2903734513222,0.00656639318913221,-47.991826882965,-6.06852572657232,0.00938770081847906,4.68106721003175,4.68569479033751,3.29818408315762
"332","NLA06608-0618","Gantt Reservoir","EPA Lakes",1,-10.38316581,-1.835308026,"103413",0,-21.6881230141686,-4.10927655768943,0.505545675754547,-26.0331182403603,-4.76334721444262,0.237830579280853,-17.8281474572775,-3.52822032175895,0.267715126276016,4.69424252896428,4.63189701734059,3.2387991397786
"333","NLA06608-0619","Campbell Lake","EPA Lakes",1,-52.90472747,-7.631916056,"128772",4,-57.8260381210843,-8.63007693351572,0.00806045066565275,-76.9890505006709,-11.1679246167798,0.00417566299438477,-37.2281875970668,-5.90220540865447,0.00388478790409863,5.50885477141428,5.51406883679951,3.84044502030693
"334","NLA06608-0622","Lake Victoria","EPA Lakes",1,-48.54559889,-6.384213948,"174602",2,-77.9232054159681,-10.8791865690303,0.0059255575761199,-113.593982603153,-15.3658124254614,0.00194260117132217,-60.5255433144549,-8.69093213389072,0.00398295652121305,5.56278892732525,5.56432349009122,3.88534591017222
"335","NLA06608-0623","Mogadore Reservoir","EPA Lakes",1,-45.16902337,-6.127988737,"142475",4,-58.3897716524916,-8.90233900935102,0.0455160886049271,-75.7769683108916,-11.1654873038342,0.0242605041712523,-38.5445160388573,-6.31924891808749,0.0212555844336748,5.52713832353018,5.51892808007497,3.84224527491331
"336","NLA06608-0624","Lake Pana","EPA Lakes",1,-37.88557439,-5.066014096,"205214",3,-41.8530823614633,-6.94740308105006,0.00651585729792714,-54.0076599916654,-8.57958974105188,0.00385789549909532,-24.2113274864969,-4.57836968425944,0.00265796203166246,4.91173066702224,4.91349562382927,3.43528909550185
"337","NLA06608-0625","Van Patten Lake","EPA Lakes",1,-111.1160806,-14.61408614,"431259",7,-117.475840393568,-15.5821189073383,0.00349179375916719,-124.91318154846,-16.5758085666025,0.00271131051704288,-91.6393104816928,-12.1301412499449,0.000780483649577945,5.43820952367809,5.46303854531536,3.82097116041457
"338","NLA06608-0627","Berry Lake","EPA Lakes",1,-26.5785061,-1.194647061,"123259",7,-69.4484196059698,-10.0638803697732,0.00526572857052088,-96.4918115060036,-13.5652393394318,0.00248411158099771,-45.2974299976379,-6.93700748952411,0.00278161698952317,5.51295991192733,5.51025499911225,3.84039396505251
"339","NLA06608-0628","Lake Isabel","EPA Lakes",1,-30.62338861,-2.432187047,"359202",3,-60.9330369715497,-8.87747563077559,0.00321351387538016,-99.1546148876167,-13.83920946218,0.000696223462000489,-50.3618529092475,-7.50517753186161,0.00251729018054903,4.70712813118154,4.72567312006608,3.32431372875728
"340","NLA06608-0630","Dewey Lake","EPA Lakes",1,-46.25933151,-3.537672623,"126651",5,-78.6491913231191,-11.3263196025535,0.00453538959845901,-110.86762752641,-15.316047196766,0.00206640502437949,-51.6841286025321,-7.98713733500889,0.00246898457407951,5.98945429872677,6.02294441644266,4.19389077472738
"341","NLA06608-0632","La Cygnes Lake","EPA Lakes",1,-6.300117255,0.092583635,"343974",1,-41.4286358835641,-6.51889997510583,0.0530491769313812,-65.7499066093764,-9.68819691245507,0.0173767935484648,-29.581208039113,-4.97506667701052,0.0356723852455616,5.14207874224731,5.14344500887707,3.57849153380792
"342","NLA06608-0634",NA,"EPA Lakes",1,-43.1852156,-2.992173763,"241908",6,-90.9926513168562,-12.0361725874044,0.00482473522424698,-141.299340901223,-18.3468139474913,0.00112589774653316,-75.6796810174448,-10.1152617798032,0.00369883747771382,5.32754798922585,5.33593814101148,3.72715553423672
"343","NLA06608-0635","Lonetree Reservoir","EPA Lakes",1,-107.6703563,-14.03290993,"332422",3,-84.5925776343275,-11.3928876240675,0.00361000839620829,-117.178686008081,-15.7142903430645,0.001688665128313,-55.9526839052933,-7.59481460493577,0.00192134350072592,4.82994613398474,4.87446021229179,3.42558873009555
